"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954370, SEN S/N: 20954370, LBL: Aire_5m_070425)"	"Acoplador separado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Acoplador adjunto (LGR S/N: 20954370, SEN S/N: 20954370)"	"Host conectado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Parado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Final de archivo (LGR S/N: 20954370, SEN S/N: 20954370)"
562	01/05/25	21:00:00	17.772					
563	01/05/25	22:00:00	17.843					
564	01/05/25	23:00:00	17.843					
565	02/05/25	00:00:00	17.724					
566	02/05/25	01:00:00	17.605					
567	02/05/25	02:00:00	17.534					
568	02/05/25	03:00:00	17.724					
569	02/05/25	04:00:00	17.748					
570	02/05/25	05:00:00	17.724					
571	02/05/25	06:00:00	17.772					
572	02/05/25	07:00:00	17.653					
573	02/05/25	08:00:00	17.605					
574	02/05/25	09:00:00	17.629					
575	02/05/25	10:00:00	17.582					
576	02/05/25	11:00:00	17.629					
577	02/05/25	12:00:00	17.867					
578	02/05/25	13:00:00	17.558					
579	02/05/25	14:00:00	18.057					
580	02/05/25	15:00:00	18.224					
581	02/05/25	16:00:00	18.129					
582	02/05/25	17:00:00	18.105					
583	02/05/25	18:00:00	18.129					
584	02/05/25	19:00:00	18.033					
585	02/05/25	20:00:00	17.962					
586	02/05/25	21:00:00	17.843					
587	02/05/25	22:00:00	18.057					
588	02/05/25	23:00:00	18.033					
589	03/05/25	00:00:00	18.033					
590	03/05/25	01:00:00	17.962					
591	03/05/25	02:00:00	16.630					
592	03/05/25	03:00:00	16.534					
593	03/05/25	04:00:00	17.605					
594	03/05/25	05:00:00	17.724					
595	03/05/25	06:00:00	17.582					
596	03/05/25	07:00:00	17.320					
597	03/05/25	08:00:00	17.629					
598	03/05/25	09:00:00	17.677					
599	03/05/25	10:00:00	17.748					
600	03/05/25	11:00:00	17.772					
601	03/05/25	12:00:00	17.724					
602	03/05/25	13:00:00	17.249					
603	03/05/25	14:00:00	16.868					
604	03/05/25	15:00:00	17.368					
605	03/05/25	16:00:00	17.772					
606	03/05/25	17:00:00	17.582					
607	03/05/25	18:00:00	17.843					
608	03/05/25	19:00:00	17.582					
609	03/05/25	20:00:00	16.868					
610	03/05/25	21:00:00	16.463					
611	03/05/25	22:00:00	17.391					
612	03/05/25	23:00:00	17.439					
613	04/05/25	00:00:00	17.463					
614	04/05/25	01:00:00	17.582					
615	04/05/25	02:00:00	17.772					
616	04/05/25	03:00:00	16.963					
617	04/05/25	04:00:00	16.987					
618	04/05/25	05:00:00	17.177					
619	04/05/25	06:00:00	17.106					
620	04/05/25	07:00:00	17.201					
621	04/05/25	08:00:00	16.987					
622	04/05/25	09:00:00	17.177					
623	04/05/25	10:00:00	17.320					
624	04/05/25	11:00:00	17.368					
625	04/05/25	12:00:00	17.391					
626	04/05/25	13:00:00	17.320					
627	04/05/25	14:00:00	17.082					
628	04/05/25	15:00:00	17.724					
629	04/05/25	16:00:00	17.772					
630	04/05/25	17:00:00	17.534					
631	04/05/25	18:00:00	17.582					
632	04/05/25	19:00:00	17.677					
633	04/05/25	20:00:00	17.534					
634	04/05/25	21:00:00	17.391					
635	04/05/25	22:00:00	17.439					
636	04/05/25	23:00:00	17.177					
637	05/05/25	00:00:00	17.296					
638	05/05/25	01:00:00	16.915					
639	05/05/25	02:00:00	17.153					
640	05/05/25	03:00:00	17.249					
641	05/05/25	04:00:00	17.368					
642	05/05/25	05:00:00	17.272					
643	05/05/25	06:00:00	17.368					
644	05/05/25	07:00:00	17.368					
645	05/05/25	08:00:00	17.439					
646	05/05/25	09:00:00	17.177					
647	05/05/25	10:00:00	17.201					
648	05/05/25	11:00:00	17.225					
649	05/05/25	12:00:00	17.201					
650	05/05/25	13:00:00	17.272					
651	05/05/25	14:00:00	17.558					
652	05/05/25	15:00:00	17.558					
653	05/05/25	16:00:00	17.629					
654	05/05/25	17:00:00	17.629					
655	05/05/25	18:00:00	17.701					
656	05/05/25	19:00:00	17.772					
657	05/05/25	20:00:00	17.867					
658	05/05/25	21:00:00	17.962					
